"V1","V2"
"1",0,0.004880337676
"2",1,0.00038856698
"3",2,0.000200491802
"4",3,0.000157901074
"5",4,0.000123783214
"6",5,0.000103017482
"7",6,9.8982395e-05
"8",7,9.0580675e-05
"9",8,0.000104081037
"10",9,8.8281707e-05
"11",10,9.4863558e-05
"12",11,9.6420456e-05
"13",12,0.000121667791
"14",13,0.000115880286
"15",14,0.000145777578
"16",15,0.000173292007
"17",16,0.000244965148
"18",17,0.000273139408
"19",18,0.000322416068
"20",19,0.000392093085
"21",20,0.000386999458
"22",21,0.000443217011
"23",22,0.000443996116
"24",23,0.000438027389
"25",24,0.000498531337
"26",25,0.000492699402
"27",26,0.000516953987
"28",27,0.000502004909
"29",28,0.000566543863
"30",29,0.000602544674
"31",30,0.000648179076
"32",31,0.000645323963
"33",32,0.000701213284
"34",33,0.000719491172
"35",34,0.000767508575
"36",35,0.000806936195
"37",36,0.000957155252
"38",37,0.000955502044
"39",38,0.001029746989
"40",39,0.00109699521
"41",40,0.001203879913
"42",41,0.001342256879
"43",42,0.001401495556
"44",43,0.001598715602
"45",44,0.001801913607
"46",45,0.001863372083
"47",46,0.002228681102
"48",47,0.002406668361
"49",48,0.002528732767
"50",49,0.00278131455
"51",50,0.003002739146
"52",51,0.003285694767
"53",52,0.003606273102
"54",53,0.003716748591
"55",54,0.004095506699
"56",55,0.004162044683
"57",56,0.004694186923
"58",57,0.004894523587
"59",58,0.005377126949
"60",59,0.005806561045
"61",60,0.006160032094
"62",61,0.00685508326
"63",62,0.007280873885
"64",63,0.0083844001
"65",64,0.009620656008
"66",65,0.009877269813
"67",66,0.010922276595
"68",67,0.011985598861
"69",68,0.013253778854
"70",69,0.014396492794
"71",70,0.015803477695
"72",71,0.017293512637
"73",72,0.019095048113
"74",73,0.020925972424
"75",74,0.022913779027
"76",75,0.025633221738
"77",76,0.028650854272
"78",77,0.031138349604
"79",78,0.035119631018
"80",79,0.037922963504
"81",80,0.042404451801
"82",81,0.047419187521
"83",82,0.053342249678
"84",83,0.059741093178
"85",84,0.067814249926
"86",85,NA
"87",86,NA
"88",87,NA
"89",88,NA
"90",89,NA
"91",90,NA
"92",91,NA
"93",92,NA
"94",93,NA
"95",94,NA
"96",95,NA
"97",96,NA
"98",97,NA
"99",98,NA
"100",99,NA
"101",100,NA
